customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary,Tenure_Group,Charge_Tier,Revenue_Segment,Is_Senior
TELCO-00035,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Electronic check,120.0,8001.62,No,0,49-72 Months,Premium,High Value,Non-Senior
TELCO-00036,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57.99,2931.6,Yes,1,49-72 Months,Mid,High Value,Non-Senior
TELCO-00037,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,No,One year,Yes,Mailed check,19.39,181.93,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00038,Female,0,No,Yes,3,No,No phone service,DSL,No,Yes,No,One year,No,Mailed check,93.44,280.12,No,0,0-12 Months,Premium,Low Value,Non-Senior
TELCO-00039,Male,0,Yes,No,34,Yes,Yes,DSL,No,Yes,No,Two year,Yes,Mailed check,71.73,2526.74,No,0,25-48 Months,High,High Value,Non-Senior
TELCO-00040,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.05,1403.74,Yes,1,13-24 Months,High,Mid Value,Non-Senior
TELCO-00041,Female,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,Yes,One year,No,Electronic check,54.8,141.61,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00042,Male,0,No,No,20,No,No phone service,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,38.47,685.64,Yes,1,13-24 Months,Mid,Mid Value,Non-Senior
TELCO-00043,Male,0,,No,1,No,No phone service,Fiber optic,Yes,Yes,No,One year,No,Electronic check,99.81,94.36,Yes,1,0-12 Months,Premium,Low Value,Non-Senior
TELCO-00044,Female,0,No,No,72,No,No phone service,Fiber optic,No,Yes,No,Month-to-month,No,Electronic check,74.59,5028.44,No,0,49-72 Months,High,High Value,Non-Senior
TELCO-00045,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,One year,No,Bank transfer (automatic),21.69,169.73,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00046,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.61,2846.2,No,0,25-48 Months,High,High Value,Non-Senior
TELCO-00047,Male,0,No,Yes,11,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,79.59,763.85,Yes,1,0-12 Months,High,Mid Value,Non-Senior
TELCO-00048,Female,1,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.24,1142.81,Yes,1,13-24 Months,Mid,Mid Value,Senior
TELCO-00049,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,113.59,2321.22,Yes,1,13-24 Months,Premium,Mid Value,Non-Senior
TELCO-00050,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,46.45,286.73,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00051,Male,0,No,No,72,No,No phone service,DSL,Yes,No,Yes,Two year,Yes,Credit card (automatic),59.93,4500.14,No,0,49-72 Months,Mid,High Value,Non-Senior
TELCO-00052,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.06,3664.4,Yes,1,25-48 Months,High,High Value,Non-Senior
TELCO-00053,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,67.3,4219.56,Yes,1,49-72 Months,High,High Value,Non-Senior
TELCO-00054,Male,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.47,1583.59,No,0,49-72 Months,Low,Mid Value,Non-Senior
TELCO-00055,Male,0,No,Yes,27,Yes,No,Fiber optic,No,No,Yes,One year,No,Credit card (automatic),70.51,1883.64,Yes,1,25-48 Months,High,Mid Value,Non-Senior
TELCO-00056,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,52.57,3485.77,No,0,49-72 Months,Mid,High Value,Non-Senior
TELCO-00057,Female,1,No,Yes,2,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),90.71,186.41,No,0,0-12 Months,Premium,Low Value,Senior
TELCO-00058,Male,0,,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.54,436.09,Yes,1,0-12 Months,High,Mid Value,Non-Senior
TELCO-00059,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),67.84,65.23,No,0,0-12 Months,High,Low Value,Non-Senior
TELCO-00060,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),33.55,355.45,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00061,Female,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Mailed check,58.1,739.79,No,0,13-24 Months,Mid,Mid Value,Non-Senior
TELCO-00062,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Mailed check,94.1,818.87,No,0,0-12 Months,Premium,Mid Value,Non-Senior
TELCO-00063,Female,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Bank transfer (automatic),41.7,2033.8,No,0,49-72 Months,Mid,Mid Value,Non-Senior
TELCO-00064,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.02,757.72,No,0,13-24 Months,Mid,Mid Value,Non-Senior
TELCO-00065,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),36.91,286.83,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00066,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.48,610.6,No,0,13-24 Months,Low,Mid Value,Non-Senior
TELCO-00067,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),62.45,222.21,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00068,Female,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.21,3229.91,No,0,25-48 Months,High,High Value,Non-Senior
TELCO-00069,Female,0,No,No,2,Yes,No,DSL,No,No,No,One year,No,Mailed check,120.0,232.88,Yes,1,0-12 Months,Premium,Low Value,Non-Senior
TELCO-00070,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,One year,Yes,Electronic check,51.34,3591.92,No,0,49-72 Months,Mid,High Value,Non-Senior
TELCO-00071,Female,0,No,Yes,44,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Electronic check,63.49,2591.41,Yes,1,25-48 Months,Mid,High Value,Non-Senior
TELCO-00072,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),27.5,154.15,Yes,1,0-12 Months,Low,Low Value,Non-Senior
TELCO-00073,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.37,84.77,No,0,0-12 Months,High,Low Value,Non-Senior
TELCO-00074,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Bank transfer (automatic),76.94,3636.36,No,0,49-72 Months,High,High Value,Non-Senior
TELCO-00075,Male,0,No,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),109.65,4135.12,Yes,1,25-48 Months,Premium,High Value,Non-Senior
TELCO-00076,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,98.35,3597.55,No,0,25-48 Months,Premium,High Value,Non-Senior
TELCO-00077,Male,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Bank transfer (automatic),75.54,3257.01,Yes,1,25-48 Months,High,High Value,Non-Senior
TELCO-00078,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,50.9,87.56,Yes,1,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00079,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.14,906.94,No,0,13-24 Months,High,Mid Value,Non-Senior
TELCO-00080,Female,0,No,Yes,3,No,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.67,188.76,Yes,1,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00081,Male,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),93.6,5734.97,No,0,49-72 Months,Premium,High Value,Non-Senior
TELCO-00082,Female,0,No,No,29,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Mailed check,89.79,2732.71,No,0,25-48 Months,High,High Value,Non-Senior
TELCO-00083,Male,0,No,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,56.11,610.32,Yes,1,0-12 Months,Mid,Mid Value,Non-Senior
TELCO-00084,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,Electronic check,21.14,20.4,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00085,Female,0,No,No,11,No,No phone service,Fiber optic,No,No,No,Month-to-month,No,Mailed check,105.0,1085.87,Yes,1,0-12 Months,Premium,Mid Value,Non-Senior
TELCO-00086,Male,0,Yes,No,11,No,No phone service,DSL,No,Yes,Yes,Month-to-month,No,Mailed check,82.46,873.28,No,0,0-12 Months,High,Mid Value,Non-Senior
TELCO-00087,Female,0,Yes,Yes,39,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.42,1905.24,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00088,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.29,2490.47,Yes,1,25-48 Months,High,High Value,Non-Senior
TELCO-00089,Male,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card (automatic),67.25,4510.75,Yes,1,49-72 Months,High,High Value,Senior
TELCO-00090,Female,0,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),104.56,1867.31,No,0,13-24 Months,Premium,Mid Value,Non-Senior
TELCO-00091,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,18.0,48.93,Yes,1,0-12 Months,Low,Low Value,Non-Senior
TELCO-00092,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Bank transfer (automatic),53.08,1724.68,Yes,1,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00093,Male,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,112.97,4681.89,Yes,1,25-48 Months,Premium,High Value,Non-Senior
TELCO-00094,Female,0,Yes,No,24,No,No phone service,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.9,1793.5,Yes,1,13-24 Months,High,Mid Value,Non-Senior
TELCO-00095,Male,0,Yes,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),118.18,5365.84,Yes,1,25-48 Months,Premium,High Value,Non-Senior
TELCO-00096,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,28.35,558.04,No,0,13-24 Months,Low,Mid Value,Non-Senior
TELCO-00097,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,97.17,2093.14,Yes,1,13-24 Months,Premium,Mid Value,Non-Senior
TELCO-00098,Female,1,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.37,1467.75,Yes,1,13-24 Months,Premium,Mid Value,Senior
TELCO-00099,Male,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,15.46,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00100,Female,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,Month-to-month,No,Credit card (automatic),56.13,174.52,Yes,1,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00101,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,61.8,60.29,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00102,Female,0,No,Yes,30,Yes,No,DSL,Yes,No,Yes,One year,No,Credit card (automatic),18.0,566.36,No,0,25-48 Months,Low,Mid Value,Non-Senior
TELCO-00103,Female,0,No,No,11,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),56.76,597.81,Yes,1,0-12 Months,Mid,Mid Value,Non-Senior
TELCO-00104,Female,0,Yes,No,21,Yes,No,DSL,No,No,No,Two year,No,Credit card (automatic),91.2,1899.92,No,0,13-24 Months,Premium,Mid Value,Non-Senior
TELCO-00105,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53.27,3257.36,Yes,1,49-72 Months,Mid,High Value,Non-Senior
TELCO-00106,Female,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.26,564.41,Yes,1,0-12 Months,High,Mid Value,Non-Senior
TELCO-00107,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,Month-to-month,No,Electronic check,72.48,1090.39,Yes,1,13-24 Months,High,Mid Value,Non-Senior
TELCO-00108,Female,1,Yes,Yes,42,Yes,No,DSL,No,No,No,Two year,Yes,Bank transfer (automatic),64.64,2730.36,No,0,25-48 Months,Mid,High Value,Senior
TELCO-00109,Female,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),43.84,308.11,Yes,1,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00110,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Electronic check,84.76,151.76,Yes,1,0-12 Months,High,Low Value,Non-Senior
TELCO-00111,Male,0,Yes,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,188.11,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00112,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Mailed check,65.26,342.3,No,0,0-12 Months,High,Low Value,Non-Senior
TELCO-00113,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Mailed check,106.56,6637.47,Yes,1,49-72 Months,Premium,High Value,Non-Senior
TELCO-00114,Female,0,Yes,Yes,49,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,51.58,2621.67,Yes,1,49-72 Months,Mid,High Value,Non-Senior
TELCO-00115,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.18,1176.08,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00116,Male,0,No,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,86.77,5228.7,Yes,1,49-72 Months,High,High Value,Non-Senior
TELCO-00117,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),69.9,3078.81,No,0,25-48 Months,High,High Value,Non-Senior
TELCO-00118,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,87.36,546.99,Yes,1,0-12 Months,High,Mid Value,Non-Senior
TELCO-00119,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,66.15,3799.65,No,0,49-72 Months,High,High Value,Senior
TELCO-00120,Male,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,Two year,Yes,Credit card (automatic),18.0,393.11,Yes,1,13-24 Months,Low,Low Value,Non-Senior
TELCO-00121,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Electronic check,100.4,4602.82,No,0,49-72 Months,Premium,High Value,Non-Senior
TELCO-00122,Female,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),120.0,7358.25,No,0,49-72 Months,Premium,High Value,Non-Senior
TELCO-00123,Male,0,No,No,11,Yes,No,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),103.52,1114.93,No,0,0-12 Months,Premium,Mid Value,Non-Senior
TELCO-00124,Female,0,No,No,3,Yes,No,DSL,Yes,No,Yes,One year,No,Bank transfer (automatic),18.0,47.32,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00125,Female,0,No,Yes,7,Yes,No,DSL,No,No,Yes,Two year,No,Credit card (automatic),78.53,546.04,No,0,0-12 Months,High,Mid Value,Non-Senior
TELCO-00126,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),51.0,853.63,Yes,1,13-24 Months,Mid,Mid Value,Non-Senior
TELCO-00127,Male,1,No,Yes,51,No,No phone service,Fiber optic,No,Yes,No,Month-to-month,No,Credit card (automatic),32.47,1674.04,Yes,1,49-72 Months,Low,Mid Value,Senior
TELCO-00128,Male,1,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,68.68,4141.28,Yes,1,49-72 Months,High,High Value,Senior
TELCO-00129,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,60.53,55.8,Yes,1,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00130,Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,80.26,1542.16,No,0,13-24 Months,High,Mid Value,Non-Senior
TELCO-00131,Male,0,Yes,No,16,Yes,No,DSL,No,No,No,Month-to-month,No,Credit card (automatic),66.7,1017.48,No,0,13-24 Months,High,Mid Value,Non-Senior
TELCO-00132,Male,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card (automatic),31.38,188.72,Yes,1,0-12 Months,Low,Low Value,Senior
TELCO-00133,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),47.7,148.69,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00134,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Two year,Yes,Bank transfer (automatic),42.86,451.96,No,0,0-12 Months,Mid,Mid Value,Non-Senior
TELCO-00135,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,18.0,1335.66,Yes,1,49-72 Months,Low,Mid Value,Non-Senior
TELCO-00136,Male,0,No,No,11,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Electronic check,23.85,227.38,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00137,Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,Yes,One year,No,Electronic check,58.67,1249.97,Yes,1,13-24 Months,Mid,Mid Value,Non-Senior
TELCO-00138,Female,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.71,3413.77,Yes,1,25-48 Months,Premium,High Value,Non-Senior
TELCO-00139,Male,1,Yes,Yes,13,Yes,No,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,48.93,545.53,Yes,1,13-24 Months,Mid,Mid Value,Senior
TELCO-00140,Female,1,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,42.28,3025.58,No,0,49-72 Months,Mid,High Value,Senior
TELCO-00141,Male,1,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.56,1928.37,Yes,1,49-72 Months,Low,Mid Value,Senior
TELCO-00142,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,One year,No,Electronic check,65.92,,No,0,0-12 Months,High,Low Value,Non-Senior
TELCO-00143,Male,1,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),100.38,,No,0,13-24 Months,Premium,Low Value,Senior
TELCO-00144,Female,0,No,Yes,10,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,120.0,1046.11,No,0,0-12 Months,Premium,Mid Value,Non-Senior
